STATION_CODE,STATION_NAME
DPUR,depur ph
DPW,Dhapewara
DRPH,DEVRI P.H
DRSN,Dhurwasin
DRZ,Dalli-Rajhara
DSGR,DEEPIKA SIDING OF SECL
DSRP,DIESEL LOCO SHED
DTL,Darritola
DTR,Dhamtari
DURG,Durg
DUSI,Dusi
DVD,Duvvada
DVH,Devi
DWZ,Dantewara
DYDY,"DEPARTURE YARD, WALTAIR MARSHALLING YARD"
ECAB,"E CABIN, WALTAIR MARSHALLING YARD"
ECBD,E Cabin/BMY
EGPR,"GALVANISED PLANT ENGG SDG,RSD"
ELSV,"ELECTRICAL LOCO SHED, WALTAIR MARSHALLING YARD"
EMTY,"EMPTY YARD, VSPS"
FCAB,"F CABIN, WALTAIR MARSHALLING YARD"
FCB,FCI SDG  BSP
FCBD,F Cabin/BMY
FCIG,"FCI SIDING GNANAPURAM, VPT"
FCMH,FCI SIDING MANDIR HASUD
FMP,FERRO MANGANESE SIDING (FACOR)
FPY,"FINISHED PRODUCT YARD, VSPS"
G,Gondia Jn.
GAD,Gevra-Road
GBQ,Godbhaga
GBRI,Gobarwahi
GBSS,M/S SITA SAONGI SIDING
GCAB,"'G' CABIN, WALTAIR MARSHALLING YARD"
GCBC,G Cabin/BMY
GDM,Gudma
GDU,Gudru
GDZ,Gunderdehi
GELA,Ghadela
GGGS,Garha Goods Shed
GGT,Ghunghuti
GICK,GOVINDA INCLINE COLLIERY
GIZ,Gidam
GJ,Gangajhari
GKT,Gankhera
GMDA,Gumada
GMI,Gond Umri
GNGT,Gangatola
GNL,Gongle;
GNPR,Gunupur ph
GNS,Ghansore
GPCK,GEVERA PROJECT JUNADIH COLLIERY
GPI,Gajapatinagararn
GPJ,Gorapur
GPSA,ghat parasia
GPT,Gopalapatnam  BH
GRBL,Gurudabilli
GRCP,g.ramachandrapur ph
GRG,Guwarighat
GRHX,Garra
GRJ,Gatra
GTK,Ghutku
GTLM,Gotlam
GTW,Gatora
GUDM,GUDUM
GUL,Gujjangivalasa PH
GVA,Ganguvada p.h
GVI,Garividi
HATB,HATIBARI
HBF,Hadobhangi   PH
HCBD,H Cabin/BMY
HCM,Harishchandrapuram  PH
HDM,Hirdamali
HEOC,Hathbandh East Outer Cabin
HGR,HIMGIR
HIWS,Hirakund Industrial Works siding
HKG,Hirakud
HN,Hathbandh
HNPA,Handapa
HPCV,HPCL SIDING VPT
HRB,Harri
HRV,Harrad
HSK,Harishanker Road
HSLD,"M/S HSL STEEL PLANT SDG, AWZ"
HSLH,M/S HINDUSTHAN STEEL LTD
HTT,Hatta Road
IB,Ib
IBTB,IB THERMAL PWR STN of M/S OPSG
ICBC,I Cabin/BMY
IIEL,IOT Infrastructure & Energy Services Ltd.
IMFT,IMFA LIMITED SIDING
ITR,Itwari
IUIK,M/s. Indus Udyog and Infrastructure Pvt. Ltd.
JCBD,J Cabin/BMY
JCBR,JAINAGAR COLLIERY
JCMS,JAMUNA OPEN CAST MINES
JCWS,JAMUL CEMENT WORKS LTD BIA
JDB,Jagdalpur
JDDA,JETHA HALT
JDI,Jharradih
JGPM,JAGGAYAPALEM
JGZ,Jamgaon
JLW,Jhalwara
JLY,Jhilimili
JMG,Jamga
JMPT,Jimidipeta
JNCB,"JUNCTION CABIN, VSPS"
JNRD,JUNAGARH ROAD
JONR,JEONARA
JPST,"JAMRAPANI SIDING,TRDI"
JPV,Jamtara Paraswara
JRGJ,Jairamnagar Public Siding
JRMG,Jairamnagar
JRPD,Jarapada
JRT,Jarati
JRTR,JURTARA HALT
JSGR,JHARSUGUDA ROAD
JSLK,JINDAL STEEL AND POWER LTD
JSPK,Private siding of M/s Jindal Steel and Power Limited
JTI,Jaithari
JTR,Jatkanhar
JUJA,Jujomura
JYP,Jeypore
KAPM,Kottapalem
KAV,Kalamna
KAYI,KAYDI HALT
KBJ,Kantabanji
KBM,Kotabommali
KCBB,K Cabin/BLEY
KCKN,KUMDA COLLIERY
KCKT,KATKONA COLLIERY
KCSD,KOREA BLK NO 1 & 2 DARRITOLA
KDHI,KALADEHI
KDLR,Kandel Road
KDPA,KHADAPA
KDRI,Kendri
KDTR,Kirodimalnagar
KEMP,Kempalsad P.H.
KEZ,Kelzar
KFAS,M/S KHANDELWAL FERRO ALLOY LTD
KFP,Kukrakhapa
KFX,Kochewahi
KGB,Kargi Road
KGE,Katangi
KGS,Khongsara
KHAT,Khat
KHPL,Khaliapali
KHR,Khairee
KHS,Kharsia
KJZ,Karonji
KKGM,Kakiriguma
KKI,Karkeli
KKLU,Kaklur
KLOD,Kelod
KLPG,Kamalpurgram
KLTR,Kalmitar
KLZ,Keolari
KMEZ,KUMHAR MARANGA
KMI,Kumhari
KMK,Komakhan
KMLR,Kamalur
KMMD,Kirmiti Mendha
KMSD,Kumar Sadra
KMX,Komatipalli
KNDG,Kanhadgaon
KNGR,Kashinagar PH
KNHN,Kanhan Jn.
KNRT,Kuneru
KOI,Khodri
KOKA,Koka
KP,Kamptee
KPDH,Kapurdha P.H.
KPJG,Kerejanga
KPKD,Khaprikheda
KPL,Kantakapalle
KPNA,Kapan  HALT
KPRR,Kotapar Road
KRAR,Khariar Road
KRBA,Korba
KRBO,Karaboh
KRDH,Koradih
KRDL,Kirandul
KRDS,KORADIH THERMAL POWER PLANT SIDING
KRL,Kotarlia
KRLG,Kotarlia Public Siding
KRNG,KARGAON HALT
KRPB,KORAPUT 'B' CABIN B.H
KRPC,KORAPUT 'A' CABIN B.H
KRPU,Koraput  Jn
KRRI,KHAIRRANJI
KRX,Kurud
KRXA,Khara
KSDJ,KONDEY SIDING
KSIH,Khodseoni
KSNG,Kesinga
KSRT,"KODANPAHAR,ramtek"
KTGA,Keutguda
KTGO,KOTGAON HALT
KTHD,Kothari Road
KTMA,Kotma
KTO,Katora
KTRK,Kuturukhamar PH
KTSH,Kotmi Sonar Halt
KTV,Kottavalasa
KUHI,Kuhi
KUK,Korukonda
KVLS,Karakavalasa
KWB,Kanhiwara
KWGN,KAWARGAON
KWN,Kachewani
KYS,Kusumkasa
LAE,Lakholi
LBO,Latabor
LBPM,LPG BOTTLING PLANT
LCA,latia cabin
LDE,Lodhikhera
LDX,Ladda
LIG,Linga
LIPL,LAFARGE INDIAN PVT LTD SIDING
LJR,Lanjigarh Road
LKCB,lajkura cabin
LKMR,Lakshmipur Road
LKNA,Lakhna
LLGM,Lelligumma
LMU,Limarua
LNW,LAKHANWADA
LOA,Lorha
LOCM,LAJKURA OPEN CAST MINES III
LOMB,M/S LAJKURA OPEN CAST MINES I
LOMC,M/S LAJKURA OPEN CAST MINES I I
LPG,Lapanga
LRI,Lihuri   Ph
LSX,Loisingha
LTA,Lamta
LVK,LAKKAVARAPUKOTA
MAAL,"Pvt Sdg of M/s Hindalco Industries Ltd,Unit-Aditya Aluminium"
MADM,MATRADHAM HALT
MAIL,ARYAN ISPAT & POWER (P) LTD.
MANE,Maneswar
MAVB,Private Siding of M/s Vedanta Limited
MBPB,M/s shri bajrang power & ispat ltd sdg
MBPJ,M/s. M B Power (Madhya Pradesh) Limited
MCBB,M Cabin/BLEY
MCF,Manik Chowree P.H.
MCFK,M/S CHIDAMBARA CHEMICALS & FERTILIZERS LTD
MCK,Manikpur Colliery Siding
MCLK,KONIKA SIDING of MCL
MDGR,Manendragarh
MDH,Mandhar
MDXR,MUDARIA
MEBK,"M/S MPEB SIDING, KRBA"
MECB,M/s. Earth Minerals Company Ltd.
MFR,Mandla Fort
MGCH,Pvt. Siding of M/s. Ultratech Cement Limited
MGDR,MAGARDARRA PH
MGMT,M/s. GMR Chhattisgarh Energy Limited
MGPV,M/S GANGAVARAM PORT LTD
MGVK,Malegaon
MHJA,M/S HUKUMCHAND JUTE MILL SDG
MIB,MOTIBAGH
MIMH,MONNET ISPAT  AND  ENERGY LTD
MIPM,MARRIPALEM PH
MIVB,M/s. Vimla Infr. Ind. Pvt. Ltd.
MJBM,PVT SDG OF M/S  JAI BALAJI INDST LTD
MKMA,KSK MPC Ltd & RCRIP Ltd
MKRD,Machhkunda Road
MKZ,Mahkepar Road
MMBD,MAHESHWARI COAL BENEFICIATION & INFRA PVT LTD
MME,Mul Marora
MNBK,M/s. NTPC-SAIL Power Co.Pvt.Ltd
MNDH,Mandir Hasaud
MNGD,Muniguda
MNGL,MANGLI HALT
MNSK,Nalwa Steel & Power Ltd sdg
MNU,Mundikota
MOIL,BHARWALI MANGANIZE ORE SIDING
MPML,MOHAPANIMAL
MQJ,Maradam Halt
MQQ,Markahandi Udadon
MRBL,Muribahal
MRDA,MARODA
MRKI,M/S Rita Steel Industries KANHAN
MRLB,AMBUJA CEMENTS  LTD
MSIM,Jayaswal Neco Industries Ltd.
MSIR,M/S SKS Ispat & Power Ltd RSD
MSMD,Mahasamund
MSMM,M/s Sarda Energy & Minerals Ltd  Sdg
MSPC,"MAUDA SUPER TPS,NTPC LTD"
MSPJ,M/S MSP STEEL AND POWER LTD SIDING
MTPK,MAHARASHTRA STATE ELECTRICITY BOARD THERMAL
MTWN,MITEWANI PH
MUA,Musra
MUAT,Private Siding of M/s Utkal Alumina International Limited
MUP,MURIPAR
MVAA,Private Siding of M/s Vedanta Limited
MVF,Manabar
MVG,Maligura
MVIS,M/S VIMLA INFRASTRUCTURE  PVT LTD
MVW,Mallividu
MWG,Mindala
MWRN,MADWARANI
MXA,Marauda
MXZ,Mohadara
MZB,Mahuli
MZH,Mauhari
NAB,Nagbhir Jn.
NADR,NAVAL ARMAMENT DEPOT
NALW,M/S NALCO SIDING VPT
NBSK,"NEW BALCO SIDING, KRBA"
NBSN,NOWROZABAD BALLAST SIDING
NCSN,NOWRAZABAD COLLIERY SIDING
NDNI,Nidhani P.H.
NGDM,NAGRA DHAM P.H.
NGE,Nagar
NGJA,Narayanappavalasa Halt
NIA,JANJGIR NAILA
NIQ,Nigaura
NIR,Nainpur Jn.
NKCA,new kusmunda cabin
NKCR,NEW KUSUMUDA COLLIERY
NKX,NAKTHISEMRA
NLOD,NALCO SIDING DAMANJODI
NMDB,NMDC's IRON ORE LOADING DEPOSIT NO. 5 BACHELI
NML,Nellimarla
NMVK,NMDC's MALLINGER VALLEY SIDING KIRANDUL
NPD,Nawapara Road
NPI,Nipania
NPRD,Nagpur Road PH
NRLR,Norla Road
NROB,NEW RAJANAGAR OPEN CAST MINES
NRZB,Nowrozabad
NSX,Narsipuram Halt
NWA,Nagarwara
NWP,Naupada Jn.
OCSR,Orient Colliery Sdg
OEC,"ORE EXCHANGE YARD, WALTAIR MARSHALLING YARD"
OFB,ORDNANCE FACTORY
OKSR,OLD KUSUMUNDA COLLIERY SIDING
OPSG,Orient Paper Mills Siding Amlai
OYB,Ore Yard
OYCB,ORE Yard Cabin
PAHD,m/s acb (india) limited siding
PBCM,m/s bhilai jaypee cement limited
PBV,Paliba
PCBB,P Cabin/BLEY
PCCM,PONDRI HILL COLLIERY SIDING
PCEK,M/S CSEB SIDING
PCPN,LAFARGE INDIA PVT. LTD
PDE,Pindrai
PDSN,Peddasana p.h
PDT,Pendurti
PDU,Ponduru
PED,Pipardahi
PFU,Padua
PGBB,M/s global coal & mining pvt ltd
PGCG,M/S GUJRAT STATE ELECTRICITY CORPN  LTD
PGFV,"M/S GODAVARI FERTILIZERS AND CHEMICALS LTD, VPT"
PGSA,Pvt Sdg. of M/s Steel Exchange India Ltd
PHEC,HIND ENERGY & COAL BENEFICATION (I) LTD
PHM,Pathapatnam p.h
PISK,M/S IND SYNERGY LTD
PJB,Paniajob
PLH,Parlakhemundi
PLPU,LANCO AMARKANTAK POWER PVT LTD SDG
PLSG,Palasingi PH
PMAM,adani power maharashtra ltd
PMBG,M/s. Phil Minerals Benefication & Energy Pvt. Ltd.
PMIB,Pvt. Sdg. of M/s. IOC Limited
PMS,ParmalKasa
PMSB,M/S MONET ISPAT &ENERGY LTD SDG
PND,Pendra Road
PNJ,Padriganj
PNRD,PAUNI ROAD
PNTP,PRIVATE SDG OF NTPC GEVRA
POLB,"POL SIDING, BIA"
PQA,Pipla
PQH,Pindkepar
PRBG,Pratap Bagh
PRDL,Paradol
PSBD,"BUA, G/Shed L N 04"
PSCR,M/S CREST STEEL & POWER PVT LTD
PSK,Paradsinga
PSNG,"SIPAT SUPER TPS, NTPC LTD"
PSNS,M/S NOVA IRON & STEEL LTD
PSPG,Private siding of M/s J.K.Paper Limited
PSRC,RAIPUR INFRACTURE CO PVT LTD
PSX,Patansaongi Town
PTS,Patansaongi
PUE,Palari
PUN,Pundi
PUWA,PAUWARA P.H.
PVP,Parvatipuram
PVPT,Parvatipuram Town
PYBD,"Pheripheral Yard, Bhilai"
R,Raipur Jn.
RAIR,Rairakhol
RAMP,RAMPURI
RCT,Raipur City
RDYV,"RECEIPT AND DESPATCH YARD, VISHAKHAPATNAM PORT"
RFCI,"FCI  SIDING ,RAJNANDGAON"
RFGG,"GOVT FOOD GRAIN SDG,FCI"
RGDA,Rayagada
RGL,Rengali
RHIH,RAIPUR HANDLING & INFRACTURE PVT.LTD
RIG,Raigarh
RIM,Rajim
RJCB,RAJNAGAR COLLIERY SDG BJRI
RJKN,RAIL & UNIVERSAL BEAM MILL SIDING
RJN,Raj-Nandgaon
RML,Rompalle Ph
RMO,Ramakona
RMUY,"RAW MATERIAL UNLOADING YARD, VSPS"
RMZ,Routhpuram PH
RNBT,RAHENBHATA
ROB,Robertson
ROL,Rajoli
RPD,Rupaund
RPRD,Rupra Road
RRL,Rewral
RSA,Risama
RSD,Raipur Store Depot
RSDG,RAJHARA SIDING
RSM,Rasmara
RTK,Ramtek
RUL,Rauli
RVH,Raipur R-V Block Hut
RWS,RAIPUR WORK SHOP
RYBB,Reception Yard/BMY
RYD,"reception yard, waltair marshalling yard"
SAKA,SINARIYA KAJARWADA P.H.
SAL,Salwa
SALR,Salur
SASR,Sausar
SB04,MANA P.H
SBP,Sambalpur
